"key","budget__value"
"drn:roo:supportable:xx:44c1f96e-ac78-42e4-a81d-6f210ca65323","19.277786346465746"
"drn:roo:supportable:xx:f0c680cc-3a97-40cb-a4c1-d843f6cd8c70","27.413266681988716"
"drn:roo:supportable:xx:c68476d9-4a1a-401c-8fef-d8d1b1d12ae0","3188.559064351201"
"drn:roo:supportable:xx:11cab8e4-39fc-4c1a-ac7b-cc750cfd87a2","211.06008707947254"
"drn:roo:supportable:xx:dc290c2a-3285-448b-b3c1-27bf2345fa94","20609.340026826234"
"drn:roo:supportable:xx:c3bc8e1b-14f8-49a2-ab31-6701b215af2f","0.9643676038919295"
"drn:roo:supportable:xx:e56955ef-6b4e-4a1f-b64c-8e7c9d266b69","655.6258021566185"
"drn:roo:supportable:xx:903c1092-2588-4851-8605-5d7d881b33d6","54.08150744409554"
"drn:roo:supportable:xx:71d90d1f-2586-49de-b910-c7a9f13f6e5c","2822.4895008673984"
"drn:roo:supportable:xx:c054d8d6-afe4-4e3c-973b-2ba92aeca5ad","9.064867959459207"
"drn:roo:supportable:xx:705f02ee-ea3d-471b-b6d3-39ea64d36778","38.74752236154973"
"drn:roo:supportable:xx:22a1d836-eb3e-4225-8ad9-c31502a5fc07","2.294824709460407"
"drn:roo:supportable:xx:2575b686-c0df-443b-903c-f1d69feb78e5","6.442692167477702"
"drn:roo:supportable:xx:d45cbc48-f3a6-4e33-8052-003fa96ce710","46.43177737553924"
"drn:roo:supportable:xx:e06e2430-beed-40c1-849f-733bb1bcf614","153.31833435827272"
"drn:roo:supportable:xx:f5bf5ceb-e8f0-4c95-a956-b3ace2dc4134","14.255760235876238"
"drn:roo:supportable:xx:33efcde7-826f-4988-9318-7553f2e82c12","2976.788427855982"
"drn:roo:supportable:xx:1e1f6459-8ca1-44f9-818e-c6fc1c79c734","1520.9462991871778"
"drn:roo:supportable:xx:7a149453-0a33-4e26-a812-707bb2feee22","2620.2178271057705"
"drn:roo:supportable:xx:31e6f725-2146-4308-9fd6-74d8b7320bb2","536.5410757281408"
"drn:roo:supportable:xx:b35156c8-543d-4543-89bf-d19b419bfef8","0.6523100269615167"
"drn:roo:supportable:xx:d699860c-82d2-4c08-bdc0-a934eef48033","0.5020099282778783"
"drn:roo:supportable:xx:9c244950-6270-4a96-98b1-e1475ba85432","1855.2143081905285"
"drn:roo:supportable:xx:e71bd8a2-bb9e-48eb-a7a7-f810e1ca28fc","102.89257317604233"
