identityLineItemId,lineItemUnblendedCost,lineItemUsageStartDate,lineItemUsageEndDate,lineItemLineItemType,lineItemProductCode,lineItemResourceId
5trnxoigso3zao7rd3rh3uqyx7tzcv4jmaxhdvcy6l4nfszvp7za,15.778,2023-07-07T00:00:00Z,2023-07-07T23:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-users-01-001
smcoq65prv5pmwpwgrfj6cajj6n63aodmdceq74mhl535cppdeda,22.103,2023-07-07T00:00:00Z,2023-07-07T23:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-04-002
rk56bl4ersq3grm27orvql4wxf43bwhx7q76b7qyhrpxtl7k3kva,0.828,2023-07-07T00:00:00Z,2023-07-07T23:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-delivery-zones-01-001
mfftwux3qokus5jkey3vzlwfru3qwazjwgggw55v3o3ngmtqez7q,5.543,2023-07-07T00:00:00Z,2023-07-07T23:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-circuitbreaker-03-002
n3frsr4jiq72krd4mv2mh4lms75vigzxkxtmk2xkn72g2hqngu6a,1.3921767612,2023-07-07T00:00:00Z,2023-07-07T23:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-32935042-b7bf-164f-5d48-24034acdb7fa
6v6jel6skmepqkkovdwtxqhkq3v4w74d22lltx5rkcvoppjbcuea,8.232,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-users-01-002
xzeldpvuwxcpnkxsto2gbbf7wed5ycezgtzsz75tvrwlrs4ykfua,1.9229409485,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonDynamoDB,arn:aws:dynamodb:eu-west-1:818921491005:table/orderweb.Sessions
ppwt7dzzpsj4c5e6tenyu7vai4hbwhsb7rmdzwf5zebk73lknjnq,11.532,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-recordcache-09-001
zs4nldajqyaets3eg2lbg6lbyrkvdqumw3xlkq64ygkwn42lhdqq,11.532,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-07-002
j4z33ovlum533plppntvwre6orjl5f6wej52mce4pbvgoelmtktq,7.9497706875,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonDynamoDB,arn:aws:dynamodb:eu-west-1:818921491005:table/orderweb.Sessions
nqo7bnphm7odjcpu3gfyq57a7xid25ewiwx4wphe5mho2kgk5whq,0.7338935256,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-7d6cec66-532b-295a-5f98-aa661e62d5e9
3kmqm64dhdspd5y5dru5k24fuyjplczpt2y54glmopqy2nhl7kkq,0.1082054136,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:434632636264:cluster-snapshot:awsbackup:copyjob-6b09d285-128e-823b-269e-b3572dd09195
jswd7kfxcbqym62rgzzyhniqcicmug2pfrj63lb3ujrkplg7emia,0,2023-07-07T00:00:00Z,2023-07-07T10:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:434632636264:cluster:cluster-57ljsgpq5lpf4pthtuipledu7m
zdgpxtvvhjzofr5vyyxcmd5ivupu4qz32ozkcwzqsk2vs7ubudka,0.4912925864,2023-07-07T03:00:00Z,2023-07-07T11:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-a5551c55-42e5-8792-c036-cbf11868f483
l3xmwtpipg7peabeyy7vlavw5nvbm35enfd5ivsftkogqgxhywzq,1.312,2023-07-07T00:00:00Z,2023-07-07T11:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-restaurants-01-002
etuffqe4f6c53d3d6cis2kzrtzvmhxtwchsqbdp43xjva2n6w5ta,2.892,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-circuitbreaker-04-001
6rkfn7wfwqfd7c2r5s2udajuy6o6xdmxkmgdhabscxstel5soiia,0.7302263556,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-5f1d1a48-92f3-5852-c972-f7b8d24acede
r7pa6jrc5alpbp3j6hch5apnt6n7sj7icbtar7fwqcmexeswj2wq,11.532,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-09-002
bhrulmtwgszzpijzhg6xmnbevs7tsxcewk2jn7w74acrfbt5qhhq,7.5012E-6,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:434632636264:db:orderweb-production-aurora-foodpony-1
tgu7pr2buricesiqqyuesodiczppmtkmfhfmm3birwrd4rz3l35a,0.7251326088,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-48f723fd-4b52-e5a4-f7b6-a1b9ddbf8180
n6xwczi2ox535x762ltx5ydenukzrg2w72rnxutdq462huevgluq,0.7229756604,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-cfcf9a99-6e24-fc25-b87c-a0a477bac1c7
4itbfts7jgzv3liwfrdnn6fdlojkmi3dzv7epj5vjxemibfe7tsa,5.8993165608,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:434632636264:cluster-snapshot:awsbackup:copyjob-8dc35783-b63a-e259-d7a9-865e38f6193d
22imweics7taxnvnfm65ezaoy57tclk5pxkwkohjnyaj4lftliqa,11.532,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-04-001
7vmxreu5nrdjg7kyez3l5tz3tp6zxuo5sns4eqlylm7xfa7pi42a,0,2023-07-07T00:00:00Z,2023-07-07T10:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:434632636264:cluster:cluster-3ajhfmuy3secirzixwewq4pxgi
dorsejqo7ijfkehtpfzm4ewulslt3npgfd2vdz34qsty4fpuqs7q,82.4959997952,2023-07-07T00:00:00Z,2023-07-07T10:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:434632636264:db:orderweb-production-aurora-foodpony-2
7f74has6wahgg3zbvhkqlcsldgupl6msac7gjdyrbs3siwctemwa,60.319999488,2023-07-07T01:00:00Z,2023-07-07T11:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:434632636264:db:orderweb-production-aurora-foodpony-1
4wbcoffhf4umybewcawqt3h5mwhpzrj4ocklsxgxx7qizqtmhk4q,0.0225598913,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonDynamoDB,arn:aws:dynamodb:eu-west-1:818921491005:table/orderweb.Sessions
2cxgukh47pjvqvk3euxgcwyfjuebwmvvym6ebboil6shsxowyqha,11.532,2023-07-07T00:00:00Z,2023-07-07T12:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-07-001
u7amwe6r7nltl5bcv3wqdn3rw5eb3e5bonrv272ehblxlhyewe3a,0.0575094275,2023-07-07T08:00:00Z,2023-07-07T09:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:818921491005:cluster-snapshot:awsbackup:job-44062ef5-d8ab-2b73-b2d5-d114640e59f8
iobvczerok6oykrqpln4lloboonjwa7gxbuippe3pjbix46vufqa,0.164,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-restaurants-01-001
4dgqjaidpoe4pjlxc7jqdh62o7se6g3c2v6im4out7ela6cokonq,0.0603438997,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-02b6ff64-079d-93cc-df6c-55a88a746f1e
lxvvkpu6foqdlen5kgzgoqucljpw7gtdcyfogib6bqspnb6kccsq,0.1218895576,2023-07-07T00:00:00Z,2023-07-07T02:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-76cd6843-c375-84d5-9dee-aae92554c585
ru4qa53n23cyebi6t2afafjmtbvmx2ycna5nzsuq75xj3u6bkwfq,0.961,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-05-002
6d67oei7xe3ixojv3gn5zxjo46usaaepv7auki5mj7wg3kgvdbdq,1.1445E-6,2023-07-07T00:00:00Z,2023-07-07T02:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:434632636264:db:orderweb-production-aurora-foodpony-1
xc7ma5mi5na27dx3vui2wxcc3lhf5h5swdln7d65xilhqt3klctq,0,2023-07-07T00:00:00Z,2023-07-07T02:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:818921491005:db:orderweb-db2-2
4uhcld7bz2zxk7tos6fkt4kn7nkcjl2emgfhbydyiuczi2x3rfcq,0,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonDynamoDB,arn:aws:dynamodb:eu-west-1:818921491005:table/orderweb.UserFraudStatuses
i4onqkffv2i2mncw4zh2iuslxqr4bxp3nyppzxv2r5ylwphbyruq,0.961,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-06-002
23pa3ec3nxjnf4tcjkhvolh4dh4xni45ye24y4hkezsrpjlntbva,0.0605294244,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-32935042-b7bf-164f-5d48-24034acdb7fa
q2ihzc6k2bttx4cesxu7srbfknuwrgian2rvyvnrgjxdf5xevkla,0.0603937492,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-03993303-b823-b5c7-4d6f-5b07cf22391f
uvxrrvs7girqamsidmxwfpqvi2nnukhl4pmdlb36iimzuufls7jq,0.057260115,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:818921491005:cluster-snapshot:awsbackup:job-e75ed13d-4f95-718e-c187-fd842b47c509
66gjaqr7fh7jjrcgvumdce6mwi7gkjkfbshj3aqsmexp7lj3sseq,0.9796062946,2023-07-07T00:00:00Z,2023-07-07T02:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:434632636264:cluster-snapshot:awsbackup:copyjob-f491a1be-503f-3077-7d71-885136cd3ad7
jdxvxns4ekxfc3s6c63uysonhbcqilhu2jcprefj33xba7adhaca,0.961,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-06-001
vobz6yj6h76olp2wepz6gmols3vhtbiticc4pf74smjkllfvkyvq,0.057415681,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:818921491005:cluster-snapshot:awsbackup:job-88cde0b8-8ada-2bae-b46f-3288c719faba
f2kppmfmcwgqzxftgvkrdmu5maupcubbmtecyagkrimj4vzfmlta,0.961,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonElastiCache,arn:aws:elasticache:eu-west-1:818921491005:cluster:ow-versioncache-02-002
xdjrmph6gqfyywftxc42b5nwpbuefpmlyzz4khrezbtg6awdpziq,0.3362362443,2023-07-07T00:00:00Z,2023-07-07T01:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-1:818921491005:cluster:cluster-uqq743hpvdjfiuctjup2yr6mpm
yxci2dbwbk5msk7cegtud5a2fla47udrisp4tv2lpthm5uym5vqq,0.2790019412,2023-07-07T00:00:00Z,2023-07-07T02:00:00Z,Usage,AmazonDynamoDB,arn:aws:dynamodb:eu-west-1:818921491005:table/orderweb.OrderFees
6jdbbkyonexlkdiqva2nvqpdeyck5e7h275dbvq3e4wawy4ioinq,0.122109309,2023-07-07T00:00:00Z,2023-07-07T02:00:00Z,Usage,AmazonRDS,arn:aws:rds:eu-west-3:818921491005:cluster-snapshot:awsbackup:copyjob-b2008ecf-d897-e2f5-e75d-27fb29b9d260
